platform,komentar,timestamp
youtube,Ugh brought back my inner 12 year old,1 menit yang lalu
youtube,exited,3 menit yang lalu
youtube,"I'm counting the Daisies ...she loves me, she loves me not, he love's me ....he love's me not❤❤",5 menit yang lalu
youtube,Thank you Hailey,6 menit yang lalu
youtube,❤❤❤❤❤,8 menit yang lalu
youtube,I can't believe I'm saying this but coachella looked fun because of Justin. Woke up something ancient in me watching this. Felt like I was at Warped Tour or smth,12 menit yang lalu
youtube,❤❤❤❤❤❤,15 menit yang lalu
youtube,VIVA JUSTIN BIEBER,15 menit yang lalu
youtube,"After the bieberchella last week, here in my country 🇵🇭Philippines i always hear songs of justinnnnnnnnn...",19 menit yang lalu
youtube,🥹❤️‍🩹,21 menit yang lalu
youtube,Iconic,25 menit yang lalu
youtube,"so proud of your healing journey, Justin. your own healing is healing the collective. beautiful, beautiful aura",30 menit yang lalu
youtube,I WANNA GET CLOSER AND CLOSER AND CLOSSAAHHH,34 menit yang lalu
youtube,Closer and closer AND CLOSAAAAAAH 💜✨,36 menit yang lalu
youtube,Felt the chills and connection like we’ve known each other for a long time. This was an incredible performance ! He enjoyed every second of it and it was just clossaaaahhhh 🥹🫶🏻🫶🏻🫶🏻,37 menit yang lalu
youtube,"pop music is utterly banal now, so uniform and over produced - so thank you for this",37 menit yang lalu
youtube,1:26 My favorite part,39 menit yang lalu
youtube,Closer closer closer,39 menit yang lalu
youtube,One of the best performances ever❤,42 menit yang lalu (diedit)
youtube,"Plz keep singing, singing keeps you",47 menit yang lalu
youtube,My 13 yrs old me is crying rn,48 menit yang lalu
youtube,this brings back so many memories,48 menit yang lalu
youtube,💜💜💜💜💜💜💜💜💜,50 menit yang lalu
youtube,He's maturing finally.,51 menit yang lalu
youtube,I think my childhood is healed ❤,52 menit yang lalu
youtube,MK. Gee on the guitar,1 jam yang lalu
youtube,I love your songs Justin❤ keep singing please,1 jam yang lalu
youtube,"SO good,talented, pared down. LOVE THIS",1 jam yang lalu
youtube,those boots though,1 jam yang lalu
youtube,"Justin Bieber , hallelujah 💕",1 jam yang lalu
youtube,"he's so natural 🥺😊 u can tell this is what he loves and also sadly, what hurts him😢",1 jam yang lalu
youtube,3:06 AURA,1 jam yang lalu
youtube,"So after seeing this, I randomly googled his age and realized I'm only 3 years older than Justin Bieber? IDK why my whole life I felt like he was almost 10 years younger than me...weird. 

Anyway. He seems like he's doing better these days. That's good.",1 jam yang lalu
youtube,"Best ending Ever⚡️
      The Biebs💛",1 jam yang lalu
youtube,❤🔥🙌,1 jam yang lalu
youtube,Welcome back Bieber :),1 jam yang lalu
youtube,Incredible! Look at his nervous system - so relaxed. Unbelievable!,1 jam yang lalu
youtube,💜🫶🏻😊,1 jam yang lalu
youtube,im waiting for them to upload other songs he performed ❤,1 jam yang lalu
youtube,💜,1 jam yang lalu
youtube,Merece todos lo mejor y bonito que está viviendo en esta actualidad bieber 😊❤,1 jam yang lalu (diedit)
youtube,"That stage was made for his performance. Whoever did that, good job!",1 jam yang lalu
youtube,wdf are those boots,1 jam yang lalu
youtube,Wonder what he was telling mcgee ?,2 jam yang lalu
youtube,He is looking happy and well. The camera person did such a great job with capturing the whole vibe he carries,2 jam yang lalu
youtube,The closer and closer and closahhhhh hits me in my chest ❤ he deserves everythinggggg,2 jam yang lalu (diedit)
youtube,a wordclass talent!!😍,2 jam yang lalu
youtube,🔥☝️,2 jam yang lalu
youtube,JUSTIN BIEBER ❤💯❤️‍🔥🎶🙌🏻 espere tantos años para verlo otra vez...,2 jam yang lalu (diedit)
youtube,He looks really happy for the first time in long time  👏👏👏,2 jam yang lalu
youtube,"Can we agree that the issue is not the effort put into it but the fact that EVERYONE is comparing it with Sabrina Carpenter's performance? I mean, they are two completely different styles and vibes so why compare it because of the ""effort""?",2 jam yang lalu
youtube,"nothing has ever made me  even remotely care about,  let alone wish i was at coachella, until this performance, this was like heart touching and awesome.",2 jam yang lalu
youtube,This healed something in him,2 jam yang lalu
youtube,Amei❤,2 jam yang lalu
youtube,Camera woman the only thing great of his show,2 jam yang lalu
youtube,GUYS HELP I KEEP OPEN THIS VIDEO EVERY SINGLE HOUR OF THE DAY EVER SINCE IT GOT UPLOADED,2 jam yang lalu
youtube,Sometimes people just need authenticity and this was it.,2 jam yang lalu
youtube,i'm just listening to this in the background at work and i thought it was the track then i heard a slight difference... he sounds amazing live!!! it's nice to finally see him happy and healthy!,2 jam yang lalu
youtube,i wanna get closer and closer and CLOSAAAAAR,2 jam yang lalu
youtube,Amo Justin Bieber,2 jam yang lalu
youtube,Siaka fire 🔥 burn burnddem Fik fire 🔥,2 jam yang lalu
